time,V1,V2,I1,I2
769,0.00,12.29,0.017,0.062
770,0.00,12.32,0.019,0.052
771,0.00,12.27,0.033,0.046
772,0.00,12.32,0.030,0.030
773,0.00,12.29,0.030,0.027
774,0.00,12.32,0.010,0.035
775,0.00,12.29,0.022,0.026
776,0.00,12.32,0.019,0.043
777,0.00,12.32,0.040,0.055
778,0.00,12.29,0.008,0.049
779,0.00,12.32,0.023,0.037
780,0.00,12.29,0.042,0.047
781,0.00,12.32,0.024,0.039
782,0.00,12.32,0.013,0.027
783,0.00,12.32,0.030,0.020
784,0.00,12.32,0.035,0.042
785,0.00,12.27,0.039,0.035
786,0.00,12.32,0.038,0.043
787,0.00,12.29,0.004,0.049
788,0.00,12.32,0.021,0.034
789,0.00,12.32,0.015,0.040
790,0.00,12.32,0.026,0.037
791,0.00,12.29,0.001,0.055
792,0.00,12.29,0.006,0.043
793,0.00,12.29,0.024,0.033
794,0.00,12.29,0.016,0.051
795,0.00,12.34,-0.002,0.048
796,0.00,12.37,0.045,0.039
797,0.00,12.29,0.013,0.039
798,0.00,12.32,0.027,0.031
799,0.00,12.32,0.031,0.019
800,0.00,12.29,0.022,0.034
801,0.00,12.32,0.025,0.044
802,0.00,12.29,0.005,0.038
803,0.00,12.32,0.016,0.035
804,0.00,12.29,-0.002,0.043
805,0.00,12.32,-0.006,0.041
806,0.00,12.29,0.033,0.031
807,0.00,12.32,0.021,0.067
808,0.00,12.29,0.034,0.024
809,0.00,12.29,0.006,0.046
810,0.00,12.32,0.035,0.050
811,0.00,12.29,0.020,0.038
812,0.00,12.27,0.030,0.041
813,0.00,12.34,0.006,0.043
814,0.00,12.32,0.033,0.047
815,0.00,12.32,0.011,0.045
816,0.00,12.29,-0.001,0.029
817,0.00,12.29,0.003,0.024
818,0.00,12.32,0.009,0.044
819,0.00,12.32,0.023,0.038
820,0.00,12.32,0.036,0.041
821,0.00,12.32,0.036,0.044
822,0.00,12.29,0.034,0.045
823,0.00,12.32,0.009,0.032
824,0.00,12.32,0.039,0.018
825,0.00,12.32,0.037,0.033
826,0.00,12.32,0.033,0.034
827,0.00,12.32,0.014,0.052
828,0.00,12.32,0.031,0.047
829,0.00,12.32,0.026,0.040
830,0.00,12.32,0.030,0.054
831,0.00,12.32,0.022,0.031
832,0.00,12.29,0.046,0.034
833,0.00,12.29,0.030,0.047
834,0.00,12.32,0.021,0.024
835,0.00,12.29,0.033,0.035
836,0.00,12.32,0.040,0.043
837,0.00,12.27,0.034,0.033
838,0.00,12.29,0.008,0.031
839,0.05,12.27,0.015,0.048
840,12.17,12.19,0.113,0.035
841,12.29,12.27,0.102,0.049
842,12.27,12.24,0.111,0.046
843,12.29,12.27,0.121,0.049
844,12.29,12.27,0.108,0.049
845,12.27,12.27,0.112,0.038
846,12.24,12.22,0.116,0.061
847,12.24,12.24,0.113,0.043
848,12.29,12.24,0.097,0.060
849,12.24,12.27,0.116,0.027
850,12.27,12.24,0.120,0.040
851,12.27,12.24,0.139,0.041
852,12.27,12.27,0.115,0.049
853,12.27,12.27,0.116,0.041
854,12.24,12.27,0.112,0.034
855,12.27,12.27,0.095,0.047
856,12.29,12.27,0.116,0.056
857,12.32,12.27,0.089,0.031
858,12.27,12.29,0.110,0.046
859,12.24,12.24,0.113,0.049
860,12.22,12.27,0.094,0.053
861,12.24,12.24,0.093,0.064
862,12.22,12.29,0.102,0.047
863,12.27,12.27,0.114,0.047
864,12.22,12.27,0.124,0.038
865,12.27,12.24,0.126,0.032
866,12.24,12.24,0.106,0.050
867,12.24,12.24,0.112,0.052
868,12.24,12.27,0.103,0.054
869,12.19,12.27,0.121,0.029
870,12.24,12.22,0.102,0.035
871,12.32,12.29,0.105,0.054
872,12.24,12.24,0.094,0.049
873,12.22,12.27,0.107,0.040
874,12.27,12.29,0.116,0.043
875,12.24,12.27,0.130,0.042
876,12.27,12.32,0.113,0.075
877,12.27,12.22,0.123,0.053
878,12.24,12.27,0.124,0.052
879,12.27,12.24,0.099,0.070
880,12.24,12.24,0.114,0.042
881,12.24,12.24,0.091,0.047
882,12.32,12.24,0.097,0.043
883,12.22,12.27,0.116,0.024
884,12.24,12.27,0.105,0.058
885,12.27,12.27,0.123,0.049
886,12.27,12.24,0.096,0.044
887,12.29,12.24,0.067,0.032
888,12.24,12.29,0.098,0.049
889,12.22,12.29,0.118,0.032
890,12.27,12.24,0.099,0.052
891,12.29,12.27,0.113,0.036
892,12.24,12.32,0.096,0.050
893,12.27,12.27,0.088,0.042
894,12.24,12.27,0.101,0.038
895,12.27,12.27,0.099,0.055
896,12.27,12.27,0.100,0.044
897,12.22,12.24,0.115,0.035
898,12.27,12.24,0.103,0.049
899,12.24,12.27,0.110,0.046
900,12.29,12.27,0.103,0.048
901,12.24,12.24,0.107,0.010
902,12.22,12.27,0.082,0.027
903,12.24,12.27,0.106,0.051
904,12.19,12.24,0.102,0.030
905,12.22,12.22,0.078,0.047
906,12.24,12.22,0.099,0.032
907,12.29,12.24,0.102,0.028
908,12.27,12.27,0.103,0.044
909,12.24,12.27,0.105,0.042
910,12.24,12.27,0.111,0.043
911,12.24,12.22,0.107,0.052
912,12.27,12.34,0.095,0.046
913,12.24,12.29,0.113,0.054
914,12.29,12.27,0.118,0.047
915,12.24,12.22,0.100,0.055
916,12.29,12.29,0.102,0.060
917,12.27,12.27,0.086,0.047
918,12.22,12.27,0.116,0.052
919,12.29,12.27,0.098,0.043
920,12.24,12.27,0.100,0.042
921,12.27,12.32,0.100,0.059
922,12.27,12.24,0.093,0.029
923,12.27,12.27,0.096,0.050
924,12.29,12.27,0.102,0.049
925,12.27,12.29,0.077,0.036
926,12.24,12.27,0.105,0.057
927,12.24,12.24,0.107,0.048
928,12.27,12.29,0.105,0.058
929,12.24,12.24,0.092,0.046
930,12.29,12.24,0.100,0.032
931,12.24,12.29,0.110,0.044
932,12.22,12.24,0.107,0.048
933,12.27,12.27,0.104,0.064
934,12.27,12.24,0.113,0.044
935,12.27,12.22,0.110,0.053
936,12.27,12.24,0.107,0.055
937,12.27,12.27,0.098,0.042
938,12.24,12.27,0.120,0.039
939,12.19,12.27,0.119,0.055
940,12.29,12.29,0.117,0.046
941,12.27,12.24,0.102,0.044
942,12.22,12.27,0.102,0.055
943,12.27,12.27,0.110,0.041
944,12.12,12.19,0.242,0.028
945,12.14,12.19,0.202,0.047
946,12.22,12.19,0.189,0.035
947,12.19,12.24,0.181,0.037
948,12.27,12.29,0.116,0.046
949,12.27,12.24,0.096,0.055
950,12.29,12.27,0.107,0.037
951,12.27,12.24,0.107,0.053
952,12.27,12.27,0.110,0.055
953,12.27,12.27,0.094,0.044
954,12.24,12.29,0.127,0.044
955,12.24,12.27,0.099,0.038
956,12.29,12.27,0.106,0.047
957,12.27,12.27,0.096,0.037
958,12.22,12.27,0.122,0.041
959,12.24,12.27,0.131,0.067
960,12.22,12.27,0.105,0.039
961,12.27,12.27,0.103,0.052
962,12.29,12.29,0.107,0.038
963,12.27,12.22,0.099,0.038
964,12.19,12.27,0.107,0.038
965,12.27,12.27,0.102,0.052
966,12.22,12.24,0.096,0.044
967,12.22,12.24,0.121,0.047
968,12.22,12.27,0.102,0.040
969,12.27,12.27,0.112,0.038
970,12.14,12.27,0.102,0.032
971,12.19,12.29,0.113,0.038
972,12.24,12.24,0.105,0.038
973,12.24,12.27,0.112,0.042
974,12.24,12.24,0.092,0.049
975,12.34,12.22,0.109,0.034
976,12.24,12.27,0.095,0.035
977,12.24,12.24,0.099,0.015
978,12.24,12.27,0.101,0.041
979,12.24,12.24,0.084,0.028
980,12.24,12.29,0.110,0.031
981,12.27,12.24,0.097,0.023
982,12.27,12.24,0.101,0.047
983,12.22,12.27,0.103,0.063
984,12.27,12.27,0.105,0.034
985,12.29,12.29,0.109,0.023
986,12.24,12.27,0.113,0.047
987,12.24,12.27,0.109,0.040
988,12.29,12.27,0.105,0.041
989,12.27,12.27,0.096,0.044
990,12.29,12.27,0.102,0.045
991,12.27,12.27,0.099,0.060
992,12.27,12.24,0.125,0.047
993,12.27,12.29,0.109,0.058
994,12.22,12.24,0.117,0.058
995,12.17,12.27,0.110,0.048
996,12.27,12.29,0.113,0.044
997,12.24,12.29,0.129,0.046
998,12.29,12.27,0.118,0.044
999,12.27,12.24,0.114,0.035
1000,12.17,12.27,0.113,0.044
1001,12.27,12.24,0.115,0.052
1002,12.24,12.27,0.124,0.022
1003,12.27,12.24,0.116,0.044
1004,12.29,12.24,0.095,0.064
1005,12.22,12.24,0.119,0.035
1006,12.27,12.32,0.101,0.041
1007,12.27,12.22,0.116,0.033
1008,12.24,12.29,0.101,0.044
1009,12.22,12.29,0.122,0.055
1010,12.29,12.29,0.116,0.056
1011,12.27,12.22,0.107,0.049
1012,12.22,12.24,0.117,0.041
1013,12.27,12.24,0.133,0.064
1014,12.22,12.27,0.101,0.041
1015,12.27,12.24,0.112,0.039
1016,12.27,12.27,0.110,0.052
1017,12.27,12.29,0.118,0.039
1018,12.27,12.29,0.101,0.052
1019,12.24,12.24,0.081,0.016
1020,12.24,12.22,0.107,0.033
1021,12.27,12.24,0.107,0.053
1022,12.24,12.24,0.101,0.038
1023,12.27,12.27,0.099,0.044
1024,12.27,12.27,0.096,0.065
1025,12.24,12.34,0.120,0.038
1026,12.24,12.24,0.071,0.043
1027,12.27,12.22,0.110,0.045
1028,12.27,12.27,0.125,0.047
1029,12.27,12.29,0.100,0.042
1030,12.24,12.24,0.110,0.032
1031,12.29,12.24,0.109,0.038
1032,12.27,12.27,0.105,0.036
1033,12.24,12.27,0.085,0.039
1034,12.27,12.27,0.099,0.048
1035,12.24,12.24,0.090,0.042
1036,12.27,12.27,0.094,0.024
1037,12.24,12.27,0.108,0.050
1038,12.22,12.27,0.111,0.041
1039,12.29,12.24,0.107,0.050
1040,12.29,12.27,0.107,0.043
1041,12.27,12.24,0.116,0.042
1042,12.27,12.24,0.099,0.035
1043,12.27,12.24,0.097,0.051
1044,12.24,12.24,0.085,0.046
1045,12.27,12.24,0.103,0.018
1046,12.22,12.29,0.105,0.038
1047,12.27,12.22,0.115,0.048
1048,12.24,12.27,0.097,0.035
1049,12.27,12.24,0.101,0.043
1050,12.24,12.27,0.099,0.045
1051,12.27,12.22,0.090,0.045
1052,12.24,12.24,0.087,0.045
1053,12.24,12.24,0.096,0.035
1054,12.27,12.27,0.110,0.049
1055,12.27,12.24,0.093,0.042
1056,12.22,12.24,0.118,0.037
1057,12.24,12.24,0.103,0.035
1058,12.27,12.29,0.101,0.047
1059,12.22,12.24,0.092,0.052
1060,12.27,12.27,0.086,0.044
1061,12.24,12.24,0.106,0.038
1062,12.27,12.27,0.119,0.035
1063,12.27,12.24,0.113,0.036
1064,12.27,12.27,0.107,0.045
1065,12.24,12.27,0.102,0.050
1066,12.27,12.27,0.118,0.052
1067,12.19,12.27,0.116,0.067
1068,12.27,12.27,0.089,0.056
1069,12.24,12.27,0.097,0.038
1070,12.27,12.27,0.110,0.055
1071,12.24,12.24,0.095,0.024
1072,12.27,12.27,0.107,0.035
1073,12.29,12.22,0.107,0.039
1074,12.29,12.27,0.113,0.045
1075,12.22,12.24,0.096,0.054
1076,12.24,12.27,0.110,0.051
1077,12.24,12.24,0.090,0.047
1078,12.22,12.24,0.105,0.032
1079,12.27,12.24,0.102,0.026
1080,12.24,12.29,0.097,0.025
1081,12.24,12.22,0.088,0.050
1082,12.24,12.27,0.096,0.052
1083,12.22,0.00,0.104,0.052
1084,12.24,0.00,0.079,0.020
1085,2.93,0.00,0.010,0.024
1086,0.00,0.00,0.012,0.021
1087,0.00,0.00,0.002,0.028
1088,0.00,0.00,0.004,0.029
1089,0.00,0.00,-0.002,0.035
1090,0.00,0.00,0.026,0.034
1091,0.00,0.00,0.006,0.041
1092,0.00,0.00,0.017,0.032
1093,0.00,0.00,0.014,0.029
1094,12.24,0.00,0.130,0.042
1095,5.21,0.00,0.022,0.021
1096,0.00,0.00,0.010,0.035
1097,12.24,0.00,0.121,0.044
1098,12.22,0.00,0.102,0.044
1099,12.27,0.00,0.078,0.038
1100,12.27,0.00,0.102,0.032
1101,12.19,0.00,0.098,0.042
1102,12.27,0.00,0.096,0.032
1103,12.27,0.00,0.096,0.019
1104,12.29,0.00,0.091,0.020
1105,12.27,0.00,0.106,0.004
1106,12.22,0.00,0.092,0.029
1107,12.27,0.00,0.105,0.038
1108,12.24,0.00,0.101,0.041
1109,12.27,0.00,0.095,0.029
1110,12.24,0.00,0.112,0.030
1111,12.24,0.00,0.105,0.043
1112,12.24,0.00,0.090,0.018
1113,12.27,0.00,0.091,0.034
1114,12.24,0.00,0.107,0.051
1115,12.22,0.00,0.118,0.033
1116,12.24,0.00,0.086,0.034
1117,12.24,0.00,0.107,0.044
1118,12.24,0.00,0.110,0.035
1119,12.22,0.00,0.093,0.031
1120,12.24,0.00,0.095,0.043
1121,12.22,0.00,0.108,0.035
1122,12.27,0.00,0.098,0.016
1123,12.27,0.00,0.104,0.020
1124,12.32,0.00,0.105,0.032
1125,12.24,0.00,0.096,0.015
1126,12.24,0.00,0.106,0.041
1127,12.22,0.00,0.107,0.013
1128,12.24,0.00,0.088,0.023
1129,12.27,0.00,0.110,0.044
1130,12.29,0.00,0.102,0.032
1131,12.24,0.00,0.101,0.032
1132,12.22,0.00,0.089,0.042
1133,12.22,0.00,0.086,0.028
1134,12.27,0.00,0.107,0.035
1135,12.24,0.00,0.105,0.022
1136,12.22,0.00,0.107,0.040
1137,12.24,0.00,0.093,0.031
1138,12.27,0.00,0.102,0.034
1139,12.24,0.00,0.088,0.035
1140,12.24,0.00,0.095,0.022
1141,12.27,0.00,0.099,0.036
1142,12.27,0.00,0.102,0.041
1143,12.27,0.00,0.100,0.044
1144,12.24,0.00,0.113,0.041
1145,12.24,0.00,0.074,0.036
1146,12.27,0.00,0.102,0.033
1147,12.27,0.00,0.103,0.041
1148,12.27,0.00,0.104,0.042
1149,12.19,0.00,0.096,0.038
1150,12.22,0.00,0.094,0.052
1151,12.22,0.00,0.091,0.033
1152,12.24,0.00,0.116,0.045
1153,12.27,0.00,0.101,0.029
1154,12.27,0.00,0.093,0.032
1155,12.22,0.00,0.089,0.038
1156,12.24,0.00,0.113,0.038
1157,12.24,0.00,0.114,0.021
1158,12.24,0.00,0.095,0.031
1159,12.27,0.00,0.097,0.038
1160,12.27,0.00,0.094,0.042
1161,12.24,0.00,0.090,0.033
1162,12.27,0.00,0.088,0.035
1163,12.24,0.00,0.113,0.050
1164,12.24,0.00,0.096,0.033
1165,12.24,0.00,0.096,0.029
1166,12.27,0.00,0.104,0.019
1167,12.22,0.00,0.106,0.035
1168,12.24,0.00,0.098,0.053
1169,12.22,0.00,0.116,0.052
1170,12.24,0.00,0.085,0.045
1171,12.24,0.00,0.093,0.037
1172,12.22,0.00,0.121,0.034
1173,12.27,0.00,0.109,0.039
1174,12.24,0.00,0.108,0.031
1175,12.19,0.00,0.099,0.040
1176,12.27,0.00,0.083,0.047
1177,12.24,0.00,0.107,0.030
1178,12.22,0.00,0.096,0.028
1179,12.24,0.00,0.124,0.036
1180,12.24,0.00,0.099,0.019
1181,12.24,0.00,0.094,0.037
1182,12.24,0.00,0.083,0.027
1183,12.24,0.00,0.065,0.030
1184,12.27,0.00,0.098,0.029
1185,12.27,0.00,0.103,0.045
1186,12.24,0.00,0.103,0.027
1187,12.24,0.00,0.107,0.027
1188,12.24,0.00,0.104,0.038
1189,12.27,0.00,0.113,0.041
1190,12.22,0.00,0.096,0.032
1191,12.22,0.00,0.092,0.037
1192,12.24,0.00,0.101,0.027
1193,12.24,0.00,0.109,0.039
1194,12.24,0.00,0.094,0.051
1195,12.27,0.00,0.105,0.028
1196,12.24,0.00,0.099,0.038
1197,12.24,0.00,0.105,0.046
1198,12.24,0.00,0.101,0.035
1199,12.22,0.00,0.111,0.029
1200,12.24,0.00,0.100,0.035
1201,12.24,0.00,0.111,0.035
1202,12.27,0.00,0.107,0.038
1203,12.27,0.00,0.102,0.047
1204,12.24,0.00,0.082,0.027
1205,12.29,0.00,0.084,0.043
1206,12.24,0.00,0.105,0.021
1207,12.24,0.00,0.102,0.017
1208,12.27,0.00,0.104,0.047
1209,12.29,0.00,0.084,0.035
1210,12.24,0.00,0.099,0.025
1211,12.27,0.00,0.101,0.049
1212,12.22,0.00,0.099,0.039
1213,12.24,0.00,0.115,0.044
1214,12.22,0.00,0.122,0.052
1215,12.24,0.00,0.094,0.046
1216,12.27,0.00,0.110,0.042
1217,12.27,0.00,0.116,0.042
1218,12.27,0.00,0.090,0.024
1219,12.29,0.00,0.096,0.043
1220,12.27,0.00,0.110,0.039
1221,12.24,0.00,0.127,0.047
1222,12.24,0.00,0.059,0.032
1223,12.27,0.00,0.096,0.029
1224,12.27,0.00,0.094,0.027
1225,12.22,0.00,0.108,0.038
1226,12.27,0.00,0.107,0.014
1227,12.24,0.00,0.099,0.035
1228,12.27,0.00,0.105,0.047
1229,12.24,0.00,0.090,0.018
1230,12.22,0.00,0.083,0.034
1231,12.27,0.00,0.102,0.029
1232,12.19,0.00,0.090,0.041
1233,12.24,0.00,0.084,0.024
1234,12.24,0.00,0.079,0.027
1235,12.27,0.00,0.087,0.046
1236,12.22,0.00,0.087,0.048
1237,12.24,0.00,0.079,0.032
1238,12.24,0.00,0.076,0.038
1239,12.27,0.00,0.106,0.042
1240,12.19,0.00,0.096,0.034
1241,12.22,0.00,0.091,0.028
1242,12.24,0.00,0.095,0.025
1243,12.24,0.00,0.094,0.021
1244,12.24,0.00,0.096,0.038
1245,12.24,0.00,0.103,0.031
1246,12.24,0.00,0.104,0.040
1247,12.29,0.00,0.083,0.047
1248,12.19,0.00,0.090,0.015
1249,12.24,0.00,0.110,0.043
1250,12.27,0.00,0.090,0.015
1251,12.22,0.00,0.102,0.020
1252,12.24,0.00,0.102,0.026
1253,12.24,0.00,0.106,0.036
1254,12.24,0.00,0.087,0.020
1255,12.24,0.00,0.089,0.029
1256,12.22,0.00,0.085,0.023
1257,12.22,0.00,0.085,0.042
1258,12.24,12.22,0.114,0.053
1259,12.22,12.24,0.102,0.041
1260,12.24,12.24,0.132,0.041
1261,12.22,12.22,0.119,0.056
1262,12.22,12.22,0.097,0.042
1263,12.22,12.22,0.102,0.044
1264,12.19,12.24,0.107,0.025
1265,12.19,12.22,0.082,0.044
1266,12.22,12.22,0.107,0.042
1267,12.19,12.22,0.097,0.029
1268,11.22,12.27,0.012,0.049
1269,1.55,0.00,0.006,0.035
1270,0.00,0.00,-0.005,0.025
1271,0.00,0.00,0.000,0.033
1272,0.00,0.00,0.008,0.021
1273,0.00,0.00,0.008,0.029
1274,0.00,0.00,0.016,0.021
1275,0.00,0.00,0.008,0.021
1276,0.00,0.00,0.010,0.023
1277,0.00,0.00,0.008,0.024
1278,0.00,0.00,0.025,0.032
1279,0.00,0.00,0.022,0.047
1280,0.00,0.00,0.010,0.024
1281,0.00,0.00,0.019,0.044
1282,0.00,0.00,0.021,0.021
1283,0.00,0.00,0.027,0.030
1284,0.00,0.00,-0.001,0.030
1285,0.00,0.00,0.009,0.038
1286,0.00,0.00,0.013,0.027
1287,0.00,0.00,0.025,0.015
1288,0.00,0.00,0.025,0.033
1289,0.00,0.00,0.017,0.027
1290,0.00,0.00,0.021,0.056
1291,0.00,0.00,-0.006,0.026
1292,0.00,0.00,0.010,0.027
1293,0.00,0.00,-0.015,0.015
1294,0.00,0.00,0.021,0.032
1295,0.00,0.00,0.024,0.047
1296,0.00,0.00,0.010,0.037
1297,0.00,0.00,0.008,0.018
1298,0.00,0.00,0.002,0.034
1299,0.00,0.00,0.018,0.041
1300,0.00,0.00,0.028,0.024
1301,0.00,0.00,0.000,0.043
1302,0.00,0.00,-0.003,0.031
1303,0.00,0.00,0.019,0.017
1304,0.00,0.00,-0.013,0.021
1305,0.00,0.00,0.001,0.044
1306,0.00,0.00,0.011,0.038
1307,0.00,0.00,0.003,0.021
1308,0.00,0.00,0.023,0.028
1309,0.00,0.00,-0.003,0.023
1310,0.00,0.00,0.009,0.032
1311,0.00,0.00,-0.001,0.015
1312,0.00,0.00,-0.004,0.035
1313,0.00,0.00,0.027,0.031
1314,0.00,0.00,0.013,0.030
1315,0.00,0.00,-0.007,0.044
1316,0.00,0.00,0.011,0.038
1317,0.00,0.00,0.018,0.033
1318,0.00,0.00,0.001,0.032
1319,0.00,0.00,-0.003,0.032
1320,0.00,0.00,0.008,0.027
1321,0.00,0.00,0.028,0.035
1322,0.00,0.00,0.022,0.020
1323,0.00,0.00,0.021,0.046
1324,0.00,0.00,0.036,0.032
1325,0.00,0.00,0.010,0.023
1326,0.00,0.00,0.033,0.031
1327,0.00,0.00,0.021,0.017
1328,0.00,0.00,0.002,0.024
1329,0.00,0.00,0.016,0.031
1330,0.00,0.00,0.013,0.039
1331,0.00,0.00,0.018,0.037
1332,0.00,0.00,0.007,0.038
1333,0.00,0.00,0.028,0.036
1334,0.00,0.00,0.010,0.035
1335,0.00,0.00,0.013,0.035
1336,0.00,0.00,0.013,0.008
1337,0.00,0.00,0.019,0.046
1338,0.00,0.00,0.025,0.041
1339,0.00,0.00,0.009,0.040
1340,0.00,0.00,0.027,0.042
1341,0.00,0.00,0.009,0.031
1342,0.00,0.00,0.023,0.020
1343,0.00,0.00,0.016,0.046
1344,0.00,0.00,0.024,0.036
1345,0.00,0.00,0.005,0.034
1346,0.00,0.00,0.008,0.041
1347,0.00,0.00,0.015,0.007
1348,0.00,0.00,0.010,0.016
1349,0.00,0.00,0.009,0.039
1350,0.00,0.00,0.036,0.036
1351,0.00,0.00,0.019,0.030
1352,0.00,0.00,-0.007,0.013
1353,0.00,0.00,0.020,0.037
1354,0.00,0.00,0.009,0.038
1355,0.00,0.00,0.006,0.031
1356,0.00,0.00,0.007,0.036
1357,0.00,0.00,-0.013,0.033
1358,0.00,0.00,0.000,0.024
1359,0.00,0.00,0.016,0.033
1360,0.00,0.00,0.001,0.034
1361,0.00,0.00,0.009,0.033
1362,0.00,0.00,0.028,0.027
1363,0.00,0.00,0.016,0.050
1364,0.00,0.00,0.030,0.042
1365,0.00,0.00,0.013,0.027
1366,0.00,0.00,0.019,0.024
1367,0.00,0.00,0.027,0.021
1368,0.00,0.00,0.008,0.027
1369,0.00,0.00,0.009,0.031
1370,0.00,0.00,0.002,0.024
1371,0.00,0.00,0.037,0.018
1372,0.00,0.00,0.006,0.026
1373,0.00,0.00,0.002,0.007
1374,0.00,0.00,0.022,0.027
1375,0.00,0.00,-0.003,0.017
1376,0.00,0.00,0.015,0.029
1377,0.00,0.00,0.002,0.012
1378,0.00,0.00,0.011,0.036
1379,0.00,0.00,0.002,0.049
1380,0.00,0.00,0.003,0.032
1381,0.00,0.00,-0.021,0.049
1382,0.00,0.00,0.031,0.023
1383,0.00,0.00,0.001,0.026
1384,0.00,0.00,0.005,0.029
1385,0.00,0.00,0.010,0.039
1386,0.00,0.00,-0.014,0.039
1387,0.00,0.00,-0.011,0.023
1388,0.00,0.00,-0.004,0.029
1389,0.00,0.00,-0.004,0.030
1390,0.00,0.00,0.003,0.029
1391,0.00,0.00,0.021,0.035
1392,0.00,0.00,0.008,0.021
1393,0.00,0.00,0.019,0.028
1394,0.00,0.00,0.014,0.026
1395,0.00,0.00,0.011,0.041
1396,0.00,0.00,0.011,0.040
1397,0.00,0.00,-0.007,0.029
1398,0.00,0.00,0.009,0.047
1399,0.00,0.00,0.015,0.034
1400,0.00,0.00,-0.012,0.024
1401,0.00,0.00,0.010,0.031
1402,0.00,0.00,0.009,0.024
1403,0.00,0.00,0.035,0.029
1404,0.00,0.00,0.024,0.021
1405,0.00,0.00,0.025,0.015
1406,0.00,0.00,0.007,0.032
1407,0.00,0.00,0.039,0.034
1408,0.00,0.00,0.017,0.041
1409,0.00,0.00,0.039,0.037
1410,0.00,0.00,0.019,0.035
1411,0.00,0.00,0.020,0.032
1412,0.00,0.00,0.019,0.031
1413,0.00,0.00,0.002,0.031
1414,0.00,0.00,0.000,0.027
1415,0.00,0.00,0.008,0.052
1416,0.00,0.00,0.015,0.018
1417,0.00,0.00,0.026,0.035
1418,0.00,0.00,-0.003,0.043
1419,0.00,0.00,0.029,0.038
1420,0.00,0.00,0.008,0.032
1421,0.00,0.00,0.010,0.040
1422,0.00,0.00,0.014,0.039
1423,0.00,0.00,0.012,0.029
1424,0.00,0.00,0.019,0.047
1425,0.00,0.00,0.025,0.027
1426,0.00,0.00,0.019,0.037
1427,0.00,0.00,0.012,0.038
1428,0.00,0.00,0.010,0.030
1429,0.00,0.00,0.008,0.024
1430,0.00,0.00,0.008,0.036
1431,0.00,0.00,0.018,0.034
1432,0.00,0.00,0.019,0.030
1433,0.00,0.00,0.015,0.015
1434,0.00,0.00,0.019,0.013
1435,0.00,0.00,0.022,0.047
1436,0.00,0.00,-0.014,0.029
1437,0.00,0.00,0.004,0.029
1438,0.00,0.00,0.006,0.021
1439,0.00,0.00,-0.002,0.032
1440,0.00,0.00,-0.001,0.039
1441,0.00,0.00,-0.009,0.023
1442,0.00,0.00,-0.010,0.013
1443,0.00,0.00,-0.010,0.029
1444,0.00,0.00,0.012,0.026
1445,0.00,0.00,0.017,0.027
1446,0.00,0.00,0.025,0.029
1447,0.00,0.00,0.016,0.034
1448,0.00,0.00,0.014,0.018
1449,0.00,0.00,0.013,0.032
1450,0.00,0.00,0.013,0.019
1451,0.00,0.00,-0.004,0.023
1452,0.00,0.00,0.014,0.015
1453,0.00,0.00,0.025,0.029
1454,0.00,0.00,0.039,0.035
1455,0.00,0.00,0.005,0.013
1456,0.00,0.00,0.006,0.009
1457,0.00,0.00,0.018,0.035
1458,0.00,0.00,0.013,0.011
1459,0.00,0.00,0.013,0.024
1460,0.00,0.00,0.012,0.021
1461,0.00,0.00,-0.002,0.024
1462,0.00,0.00,0.016,0.026
1463,0.00,0.00,0.028,0.034
1464,0.00,0.00,0.012,0.016
1465,0.00,0.00,0.006,0.032
1466,0.00,0.00,-0.004,0.038
1467,0.00,0.00,0.021,0.028
1468,0.00,0.00,0.011,0.027
1469,0.00,0.00,-0.013,0.021
1470,0.00,0.00,0.002,0.036
1471,0.00,0.00,0.008,0.020
1472,0.00,0.00,0.029,0.040
1473,0.00,0.00,0.013,0.040
1474,0.00,0.00,0.025,0.031
1475,0.00,0.00,0.022,0.045
1476,0.00,0.00,0.007,0.045
1477,0.00,0.00,-0.002,0.040
1478,0.00,0.00,0.027,0.040
1479,0.00,0.00,0.030,0.029
1480,0.00,0.00,0.018,0.052
1481,0.00,0.00,0.001,0.041
1482,0.00,0.00,0.017,0.045
1483,0.00,0.00,0.011,0.030
1484,0.00,0.00,0.019,0.050
1485,0.00,0.00,0.027,0.043
1486,0.00,0.00,0.022,0.046
1487,0.00,0.00,-0.001,0.032
1488,0.00,0.00,0.036,0.038
1489,0.00,0.00,0.024,0.028
1490,0.00,0.00,0.030,0.061
1491,0.00,0.00,0.021,0.036
1492,0.00,0.00,0.003,0.047
1493,0.00,0.00,0.025,0.023
1494,0.00,0.00,0.016,0.049
1495,0.00,0.00,0.002,0.018
1496,0.00,0.00,0.028,0.049
1497,0.00,0.00,0.025,0.047
1498,0.00,0.00,0.026,0.033
1499,0.00,0.00,0.022,0.043
1500,0.00,0.00,0.037,0.038
1501,0.00,0.00,0.008,0.027
1502,0.00,0.00,-0.010,0.033
1503,0.00,0.00,0.029,0.029
1504,0.00,0.00,0.016,0.035
1505,0.00,0.00,0.021,0.027
1506,0.00,0.00,0.017,0.040
1507,0.00,0.00,0.022,0.035
1508,0.00,0.00,0.020,0.028
1509,0.00,0.00,0.017,0.029
1510,0.00,0.00,-0.004,0.038
1511,0.00,0.00,0.021,0.025
1512,0.00,0.00,0.011,0.021
1513,0.00,0.00,0.018,0.040
1514,0.00,0.00,0.013,0.027
