time,V1,V2,I1,I2
177,12.22,12.27,0.142,0.057
178,12.22,12.27,0.131,0.071
179,12.27,12.29,0.116,0.037
180,12.22,12.27,0.145,0.032
181,12.29,12.24,0.110,0.041
182,12.27,12.27,0.104,0.050
183,12.27,12.27,0.128,0.055
184,12.24,12.27,0.107,0.044
185,12.27,12.27,0.118,0.032
186,12.27,12.24,0.122,0.045
187,12.29,12.24,0.114,0.041
188,12.29,12.27,0.113,0.032
189,12.24,12.27,0.116,0.058
190,12.24,12.24,0.112,0.032
191,12.27,12.29,0.099,0.031
192,12.27,12.27,0.097,0.041
193,12.22,12.27,0.092,0.033
194,12.24,12.27,0.114,0.054
195,12.27,12.22,0.105,0.059
196,12.24,12.27,0.092,0.059
197,12.24,12.32,0.114,0.053
198,12.24,12.24,0.107,0.041
199,12.27,12.22,0.091,0.044
200,12.22,12.24,0.116,0.044
201,12.29,12.27,0.121,0.049
202,12.27,12.27,0.102,0.045
203,12.27,12.17,0.119,0.044
204,12.24,12.24,0.110,0.052
205,12.27,12.29,0.102,0.049
206,12.24,12.27,0.122,0.047
207,12.27,12.29,0.093,0.041
208,12.27,12.27,0.112,0.038
209,12.27,12.29,0.116,0.045
210,12.24,12.24,0.130,0.054
211,12.27,12.24,0.101,0.040
212,12.29,12.27,0.098,0.041
213,12.29,12.27,0.113,0.044
214,12.27,12.24,0.106,0.044
215,12.22,12.24,0.113,0.066
216,12.27,12.27,0.088,0.052
217,12.27,12.24,0.098,0.043
218,12.22,12.27,0.105,0.049
219,12.27,12.27,0.102,0.049
220,12.24,12.24,0.107,0.041
221,12.22,12.24,0.112,0.052
222,12.27,12.24,0.101,0.036
223,12.27,12.27,0.107,0.047
224,12.27,12.24,0.105,0.047
225,12.29,12.27,0.098,0.050
226,12.29,12.24,0.120,0.035
227,12.27,12.27,0.108,0.055
228,12.24,12.22,0.105,0.047
229,12.24,12.32,0.102,0.034
230,12.24,12.24,0.106,0.055
231,12.29,12.24,0.100,0.049
232,12.24,12.24,0.107,0.042
233,12.24,12.22,0.099,0.045
234,12.27,12.24,0.090,0.051
235,12.24,12.29,0.122,0.037
236,12.24,12.24,0.118,0.049
237,12.24,12.24,0.104,0.066
238,12.27,12.29,0.127,0.052
239,12.29,12.27,0.104,0.054
240,12.29,12.29,0.110,0.059
241,12.24,12.24,0.093,0.041
242,12.27,12.27,0.096,0.047
243,12.29,12.27,0.099,0.049
244,12.27,12.27,0.128,0.047
245,12.27,12.27,0.116,0.051
246,12.24,12.29,0.124,0.044
247,12.27,12.27,0.106,0.041
248,12.24,12.22,0.110,0.052
249,12.22,12.29,0.119,0.038
250,12.27,12.22,0.089,0.049
251,12.22,12.27,0.102,0.044
252,12.27,12.27,0.110,0.056
253,12.22,12.27,0.111,0.045
254,12.27,12.27,0.116,0.048
255,12.22,12.29,0.102,0.040
256,12.27,12.24,0.113,0.057
257,12.24,12.29,0.130,0.055
258,12.24,12.29,0.092,0.049
259,12.27,12.22,0.110,0.035
260,12.27,12.24,0.121,0.055
261,12.27,12.27,0.105,0.042
262,12.27,12.24,0.107,0.044
263,12.24,12.24,0.130,0.056
264,12.24,12.27,0.096,0.049
265,12.27,12.29,0.108,0.061
266,12.27,12.24,0.090,0.050
267,12.27,12.27,0.125,0.052
268,12.24,12.27,0.117,0.064
269,12.24,12.27,0.113,0.055
270,12.27,12.24,0.091,0.052
271,12.27,12.27,0.116,0.045
272,12.24,12.27,0.113,0.059
273,12.24,12.27,0.125,0.045
274,12.27,12.24,0.090,0.044
275,12.22,12.24,0.107,0.025
276,12.24,12.27,0.092,0.062
277,12.29,12.27,0.121,0.048
278,12.27,12.24,0.096,0.044
279,12.22,12.17,0.113,0.029
280,12.27,12.27,0.099,0.042
281,12.27,12.27,0.101,0.057
282,12.27,12.24,0.125,0.026
283,12.24,12.29,0.103,0.060
284,12.27,12.27,0.110,0.052
285,12.27,12.22,0.121,0.061
286,12.27,12.27,0.102,0.055
287,12.27,12.29,0.095,0.047
288,12.27,12.29,0.123,0.044
289,12.27,12.24,0.115,0.042
290,12.27,12.24,0.102,0.052
291,12.27,12.24,0.107,0.058
292,12.24,12.24,0.107,0.055
293,12.22,12.27,0.127,0.061
294,12.24,12.22,0.093,0.054
295,12.27,12.29,0.113,0.038
296,12.27,12.24,0.110,0.051
297,12.24,12.27,0.104,0.049
298,12.27,12.24,0.106,0.068
299,12.27,12.29,0.110,0.044
300,12.27,12.27,0.103,0.049
301,12.24,12.22,0.110,0.033
302,12.24,12.27,0.094,0.051
303,12.32,12.27,0.110,0.043
304,12.27,12.24,0.116,0.073
305,12.27,12.29,0.119,0.039
306,12.32,12.24,0.128,0.051
307,12.27,12.22,0.116,0.055
308,12.22,12.24,0.113,0.041
309,12.29,12.27,0.107,0.030
310,12.34,12.27,0.116,0.039
311,12.27,12.24,0.100,0.052
312,12.24,12.27,0.109,0.056
313,12.24,12.22,0.112,0.054
314,12.27,12.22,0.093,0.041
315,12.24,12.24,0.118,0.055
316,12.29,12.27,0.125,0.064
317,12.29,12.24,0.092,0.034
318,12.24,12.29,0.102,0.049
319,12.24,12.24,0.116,0.053
320,12.29,12.27,0.118,0.054
321,12.29,12.24,0.121,0.051
322,12.32,12.29,0.130,0.047
323,12.24,12.24,0.119,0.064
324,12.29,12.27,0.119,0.045
325,12.22,12.22,0.121,0.039
326,12.24,12.27,0.126,0.047
327,12.27,12.27,0.104,0.046
328,12.27,12.22,0.113,0.065
329,12.24,12.27,0.098,0.049
330,12.24,12.29,0.124,0.050
331,12.27,12.27,0.131,0.047
332,12.27,12.27,0.142,0.039
333,12.22,12.22,0.128,0.047
334,12.24,12.29,0.147,0.055
335,12.22,12.24,0.145,0.047
336,12.27,12.24,0.155,0.054
337,12.27,12.24,0.159,0.050
338,12.22,12.22,0.152,0.058
339,12.27,12.29,0.148,0.043
340,12.27,12.22,0.121,0.046
341,12.27,12.24,0.096,0.050
342,12.22,12.24,0.117,0.054
343,12.27,12.27,0.122,0.030
344,12.27,12.27,0.099,0.058
345,12.17,12.17,0.098,0.048
346,12.19,12.19,0.118,0.067
347,12.22,12.24,0.102,0.040
348,12.24,0.00,0.110,0.032
349,12.17,0.00,0.107,0.036
350,12.22,0.00,0.116,0.046
351,12.24,0.00,0.112,0.048
352,12.22,0.00,0.120,0.033
353,12.24,0.00,0.097,0.024
354,12.27,0.00,0.115,0.054
355,12.24,0.00,0.093,0.040
356,12.27,0.00,0.085,0.036
357,12.24,0.00,0.113,0.046
358,12.22,0.00,0.102,0.033
359,12.24,0.00,0.116,0.037
360,12.22,0.00,0.116,0.049
361,12.22,0.00,0.119,0.040
362,12.27,0.00,0.115,0.047
363,12.27,0.00,0.105,0.054
364,12.27,0.00,0.107,0.047
365,12.24,0.00,0.113,0.049
366,12.24,0.00,0.114,0.038
367,12.24,0.00,0.082,0.016
368,12.27,0.00,0.114,0.031
369,12.24,0.00,0.087,0.035
370,12.24,0.00,0.090,0.049
371,12.27,0.00,0.096,0.039
372,12.24,0.00,0.105,0.047
373,12.27,0.00,0.095,0.034
374,12.24,0.00,0.102,0.019
375,12.22,0.00,0.107,0.028
376,12.27,0.00,0.114,0.030
